artist;album;sum;mean;median;count;min;max
Iron Maiden;A Matter of Life and Death;51477971;5147797,1;3245595,0;10;2023659;10686490
Iron Maiden;Brave New World;123638444;12363844,4;6900198,0;10;3546038;37744579
Iron Maiden;Dance of Death;63517722;5774338,363636363;2432710,0;11;1640702;22714791
Iron Maiden;Fear of the Dark;326659667;27221638,916666668;4011567,5;12;2443238;202379714
Iron Maiden;Iron Maiden;98309343;12288667,875;12438842,0;8;3973722;27135004
Iron Maiden;Killers;57371884;5737188,4;4054856,5;10;2335591;14425044
Iron Maiden;No Prayer for the Dying;36252822;3625282,2;3016958,0;10;1187329;10002279
Iron Maiden;Piece of Mind;315869963;35096662,55555555;6820821,0;9;3765029;230801434
Iron Maiden;Powerslave;217079054;27134881,75;11762091,5;8;4655823;87072532
Iron Maiden;Senjutsu;43462664;4346266,4;2949376,5;10;2300522;12859504
Iron Maiden;Seventh Son of a Seventh Son;101257464;12657183,0;8507470,0;8;4008154;28068923
Iron Maiden;Somewhere in Time;135607886;19372555,14285714;9932593,0;7;4357944;83785062
Iron Maiden;The Book of Souls;98529917;9852991,7;8160274,0;10;4699515;24305270
Iron Maiden;The Final Frontier;41100542;4110054,2;2992020,0;10;2333801;7876954
Iron Maiden;The Number of the Beast;542184223;67773027,875;17306224,0;8;5499979;226772517
Iron Maiden;The X Factor;22549468;2049951,6363636365;1120873,0;11;720420;6324667
Iron Maiden;Virtual XI;24306572;3038321,5;1370809,0;8;1138421;10858660
Judas Priest;Angel Of Retribution;29501825;2950182,5;1591953,5;10;608138;13029468
Judas Priest;British Steel;255923748;25592374,8;5222297,5;10;1168582;151536197
Judas Priest;Defenders Of The Faith;33850420;3761157,777777778;3972330,0;9;179794;8381016
Judas Priest;Firepower;71727245;5123374,642857143;3748010,0;14;2202335;16427828
Judas Priest;Killing Machine;30446015;2537167,9166666665;853538,5;12;434833;8117272
Judas Priest;Nostradamus;13583749;590597,7826086957;511141,0;23;291728;1327813
Judas Priest;Painkiller;132223148;12020286,181818182;5989852,0;11;1713128;78541829
Judas Priest;Point Of Entry;16081094;1461917,6363636365;625825,0;11;397780;6116909
Judas Priest;Ram It Down;18256781;1825678,1;795536,5;10;426921;6127165
Judas Priest;Redeemer of Souls;30009586;1667199,2222222222;911340,0;18;570014;9183044
Judas Priest;Rocka Rolla;873348;87334,8;69310,0;10;49024;190517
Judas Priest;Sad Wings Of Destiny;2395189;266132,1111111111;176533,0;9;98472;780540
Judas Priest;Screaming For Vengeance;158272446;14388404,181818182;4428022,0;11;2051729;76034389
Judas Priest;Sin After Sin;16134279;1792697,6666666667;951139,0;9;577272;6407852
Judas Priest;Stained Class;25825404;2582540,4;848901,5;10;526908;14120259
Judas Priest;Turbo 30;42460247;4717805,222222222;1675071,0;9;833821;30849293
