;artist;followers;album;album_id;release_date;live_special;image;uid;id;tracknumber;name;playcount;duration;bonustrack;playcount_weighted;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;uri;track_href;analysis_url;duration_ms;time_signature;album_number
180;Judas Priest;2922032;Rocka Rolla;4AxwGk6EmqSZMadj39ZI3T;1974;False;https://i.scdn.co/image/ab67616d0000b2734dc172674e47db987713326d;07f0d5ff17942e69afde;4DOEctArdNdiLyeHx430Wk;5;Winter Retreat;60523;209760;False;0,020712641066216935;0,307;0,546;4;-9,454;0;0,101;0,643;0,888;0,153;0,131;134,724;audio_features;spotify:track:4DOEctArdNdiLyeHx430Wk;https://api.spotify.com/v1/tracks/4DOEctArdNdiLyeHx430Wk;https://api.spotify.com/v1/audio-analysis/4DOEctArdNdiLyeHx430Wk;209760;4;1,0
185;Judas Priest;2922032;Rocka Rolla;4AxwGk6EmqSZMadj39ZI3T;1974;False;https://i.scdn.co/image/ab67616d0000b2734dc172674e47db987713326d;87d71d5de04b23002dda;4B4p2aMhLpJ9u2rt566A2B;10;Caviar and Meths;49024;122066;False;0,01677736588784791;0,576;0,837;2;-11,451;1;0,0457;0,00578;0,634;0,0609;0,139;121,552;audio_features;spotify:track:4B4p2aMhLpJ9u2rt566A2B;https://api.spotify.com/v1/tracks/4B4p2aMhLpJ9u2rt566A2B;https://api.spotify.com/v1/audio-analysis/4B4p2aMhLpJ9u2rt566A2B;122067;4;1,0
184;Judas Priest;2922032;Rocka Rolla;4AxwGk6EmqSZMadj39ZI3T;1974;False;https://i.scdn.co/image/ab67616d0000b2734dc172674e47db987713326d;2800e8c0c8fe82e2940d;5A94fEAYFLB6odMpY00Wkl;9;Dying to Meet You;61511;377693;False;0,021050761935529797;0,402;0,64;11;-6,818;0;0,0497;0,0156;0,000286;0,0467;0,343;115,157;audio_features;spotify:track:5A94fEAYFLB6odMpY00Wkl;https://api.spotify.com/v1/tracks/5A94fEAYFLB6odMpY00Wkl;https://api.spotify.com/v1/audio-analysis/5A94fEAYFLB6odMpY00Wkl;377693;4;1,0
183;Judas Priest;2922032;Rocka Rolla;4AxwGk6EmqSZMadj39ZI3T;1974;False;https://i.scdn.co/image/ab67616d0000b2734dc172674e47db987713326d;5bcbcc753da84adf048c;6j5x1eqZ7Y1am7YQm6pMDn;8;Run of the Mill;114683;511626;False;0,03924768791033089;0,551;0,669;4;-6,146;0;0,0437;0,00562;0,0601;0,103;0,361;125,648;audio_features;spotify:track:6j5x1eqZ7Y1am7YQm6pMDn;https://api.spotify.com/v1/tracks/6j5x1eqZ7Y1am7YQm6pMDn;https://api.spotify.com/v1/audio-analysis/6j5x1eqZ7Y1am7YQm6pMDn;511627;4;1,0
182;Judas Priest;2922032;Rocka Rolla;4AxwGk6EmqSZMadj39ZI3T;1974;False;https://i.scdn.co/image/ab67616d0000b2734dc172674e47db987713326d;d0fda8bde5546759a28e;6q6zNWOHFVL0NWx0qI1zft;7;Never Satisfied;66733;288866;False;0,02283787446544049;0,375;0,754;9;-5,798;0;0,0376;0,000766;0,00461;0,152;0,357;79,734;audio_features;spotify:track:6q6zNWOHFVL0NWx0qI1zft;https://api.spotify.com/v1/tracks/6q6zNWOHFVL0NWx0qI1zft;https://api.spotify.com/v1/audio-analysis/6q6zNWOHFVL0NWx0qI1zft;288867;4;1,0
181;Judas Priest;2922032;Rocka Rolla;4AxwGk6EmqSZMadj39ZI3T;1974;False;https://i.scdn.co/image/ab67616d0000b2734dc172674e47db987713326d;3fdf306e3c2ad48aa0cd;61CwZiNfd2ZSDIPNus5454;6;Cheater;79956;178026;False;0,027363150027104426;0,56;0,888;4;-5,421;0;0,0785;0,0274;0,0401;0,312;0,493;92,822;audio_features;spotify:track:61CwZiNfd2ZSDIPNus5454;https://api.spotify.com/v1/tracks/61CwZiNfd2ZSDIPNus5454;https://api.spotify.com/v1/audio-analysis/61CwZiNfd2ZSDIPNus5454;178027;4;1,0
176;Judas Priest;2922032;Rocka Rolla;4AxwGk6EmqSZMadj39ZI3T;1974;False;https://i.scdn.co/image/ab67616d0000b2734dc172674e47db987713326d;61c836261115167ed8d5;5OujevniN262tHERwRGOYd;1;One for the Road;111781;277253;False;0,03825454341362449;0,651;0,629;11;-6,061;0;0,0314;0,0144;0,317;0,0725;0,736;98,925;audio_features;spotify:track:5OujevniN262tHERwRGOYd;https://api.spotify.com/v1/tracks/5OujevniN262tHERwRGOYd;https://api.spotify.com/v1/audio-analysis/5OujevniN262tHERwRGOYd;277253;5;1,0
179;Judas Priest;2922032;Rocka Rolla;4AxwGk6EmqSZMadj39ZI3T;1974;False;https://i.scdn.co/image/ab67616d0000b2734dc172674e47db987713326d;abbefec3546d9a97daf0;3NpaAkBtSHSxR9mUIPMX9R;4;Deep Freeze;67617;80480;False;0,023140403664299366;0,496;0,775;4;-4,749;1;0,0985;0,000103;0,0402;0,251;0,526;132,441;audio_features;spotify:track:3NpaAkBtSHSxR9mUIPMX9R;https://api.spotify.com/v1/tracks/3NpaAkBtSHSxR9mUIPMX9R;https://api.spotify.com/v1/audio-analysis/3NpaAkBtSHSxR9mUIPMX9R;80480;4;1,0
178;Judas Priest;2922032;Rocka Rolla;4AxwGk6EmqSZMadj39ZI3T;1974;False;https://i.scdn.co/image/ab67616d0000b2734dc172674e47db987713326d;edd03b8a487562c574bf;3bQGHWevndR1e5Ddat02pw;3;Winter;71003;101640;False;0,024299186319657006;0,25;0,422;9;-8,83;1;0,0465;0,00175;0,00965;0,655;0,0323;133,141;audio_features;spotify:track:3bQGHWevndR1e5Ddat02pw;https://api.spotify.com/v1/tracks/3bQGHWevndR1e5Ddat02pw;https://api.spotify.com/v1/audio-analysis/3bQGHWevndR1e5Ddat02pw;101640;4;1,0
177;Judas Priest;2922032;Rocka Rolla;4AxwGk6EmqSZMadj39ZI3T;1974;False;https://i.scdn.co/image/ab67616d0000b2734dc172674e47db987713326d;e3f5858968f68dd990eb;2j3OkxPKoAQD47mDQCGHXe;2;Rocka Rolla;190517;186173;False;0,06520017576809563;0,577;0,862;9;-5,186;1;0,0506;0,0297;0,00143;0,123;0,799;125,841;audio_features;spotify:track:2j3OkxPKoAQD47mDQCGHXe;https://api.spotify.com/v1/tracks/2j3OkxPKoAQD47mDQCGHXe;https://api.spotify.com/v1/audio-analysis/2j3OkxPKoAQD47mDQCGHXe;186173;4;1,0
169;Judas Priest;2922032;Sad Wings Of Destiny;6D7LIAfyX9u8ZtZhOnRfUp;1976;False;https://i.scdn.co/image/ab67616d0000b273c5673464116e709c42ab5c1e;38b5151862b4f9bc6768;6K2Ksm8CyFrWJ0xkpvX7tn;3;Dreamer Deceiver;290461;353066;False;0,09940377107437565;0,331;0,614;4;-5,348;0;0,0341;0,31;0,0317;0,86;0,32;107,287;audio_features;spotify:track:6K2Ksm8CyFrWJ0xkpvX7tn;https://api.spotify.com/v1/tracks/6K2Ksm8CyFrWJ0xkpvX7tn;https://api.spotify.com/v1/audio-analysis/6K2Ksm8CyFrWJ0xkpvX7tn;353067;4;2,0
170;Judas Priest;2922032;Sad Wings Of Destiny;6D7LIAfyX9u8ZtZhOnRfUp;1976;False;https://i.scdn.co/image/ab67616d0000b273c5673464116e709c42ab5c1e;d08762f82ca16da7a65b;6Sa3mCoTGhUWEdEA5jHZNp;4;Deceiver;176533;166333;False;0,06041446500243666;0,431;0,794;2;-4,295;1;0,0381;0,0148;0,137;0,113;0,397;70,906;audio_features;spotify:track:6Sa3mCoTGhUWEdEA5jHZNp;https://api.spotify.com/v1/tracks/6Sa3mCoTGhUWEdEA5jHZNp;https://api.spotify.com/v1/audio-analysis/6Sa3mCoTGhUWEdEA5jHZNp;166333;3;2,0
171;Judas Priest;2922032;Sad Wings Of Destiny;6D7LIAfyX9u8ZtZhOnRfUp;1976;False;https://i.scdn.co/image/ab67616d0000b273c5673464116e709c42ab5c1e;ad61edf1290d7b213395;3h5l1mUBiFloR5zKJeyddz;5;Prelude;780540;121986;False;0,2671223313091712;0,317;0,431;9;-8,107;0;0,0267;0,0295;0,828;0,21;0,198;81,525;audio_features;spotify:track:3h5l1mUBiFloR5zKJeyddz;https://api.spotify.com/v1/tracks/3h5l1mUBiFloR5zKJeyddz;https://api.spotify.com/v1/audio-analysis/3h5l1mUBiFloR5zKJeyddz;121987;4;2,0
173;Judas Priest;2922032;Sad Wings Of Destiny;6D7LIAfyX9u8ZtZhOnRfUp;1976;False;https://i.scdn.co/image/ab67616d0000b273c5673464116e709c42ab5c1e;c048d76c661267245546;2vcZ1Rc7wb2N5q7DfjE2m0;7;Genocide;118028;347800;False;0,040392439234067254;0,49;0,868;4;-3,875;0;0,133;0,11;0,000143;0,0984;0,501;129,625;audio_features;spotify:track:2vcZ1Rc7wb2N5q7DfjE2m0;https://api.spotify.com/v1/tracks/2vcZ1Rc7wb2N5q7DfjE2m0;https://api.spotify.com/v1/audio-analysis/2vcZ1Rc7wb2N5q7DfjE2m0;347800;4;2,0
174;Judas Priest;2922032;Sad Wings Of Destiny;6D7LIAfyX9u8ZtZhOnRfUp;1976;False;https://i.scdn.co/image/ab67616d0000b273c5673464116e709c42ab5c1e;50e94793ba4c2ee1de8d;7n3oWxb1hQm2HWsENMzaEg;8;Epitaph;98472;199040;False;0,03369983627831591;0,443;0,323;0;-8,458;1;0,0314;0,896;9,17e-05;0,154;0,342;104,886;audio_features;spotify:track:7n3oWxb1hQm2HWsENMzaEg;https://api.spotify.com/v1/tracks/7n3oWxb1hQm2HWsENMzaEg;https://api.spotify.com/v1/audio-analysis/7n3oWxb1hQm2HWsENMzaEg;199040;4;2,0
